31/07/2020	16:54
######	######	######	######
Input parameter	Value		
Start phase (Rad)	0.0000000000
Phase step (Rad)	1.0000000000
End phase (Rad)	300.0000000000
Pulse 1 start time after trigger (ms)	0.1200000000
Pulse 2 start time after trigger (ms)	0.7200000000
Loop averages	1.0000000000
Sweep rate (Hz/s)	0.0000000000
k_eff  (m^-1)	0.0000000000
Pi pulse (us)	4.5000000000
Pulse separation  (ms)	3.0000000000
######	######	######	######	######
Laser phase (deg)	Average1	Standard Deviation	Average Population	Best fit
12582.870	0.212	NaN	0.212	0.206
12578.079	0.206	NaN	0.206	0.205
12561.943	0.217	NaN	0.217	0.190
12566.758	0.217	NaN	0.217	0.195
12575.270	0.188	NaN	0.188	0.195
12563.347	0.188	NaN	0.188	0.201
12578.755	0.181	NaN	0.181	0.200
12572.158	0.212	NaN	0.212	0.203
12569.263	0.176	NaN	0.176	0.197
12571.263	0.193	NaN	0.193	0.208
12581.861	0.210	NaN	0.210	0.198
12580.126	0.175	NaN	0.175	0.190
12573.149	0.179	NaN	0.179	0.194
12573.766	0.174	NaN	0.174	0.190
12582.640	0.197	NaN	0.197	0.204
12578.346	0.179	NaN	0.179	0.203
12569.444	0.165	NaN	0.165	0.199
12572.448	0.191	NaN	0.191	0.200
12576.959	0.183	NaN	0.183	0.208
12579.062	0.159	NaN	0.159	0.197
12580.161	0.153	NaN	0.153	0.190
12581.784	0.184	NaN	0.184	0.197
12573.260	0.165	NaN	0.165	0.193
12579.820	0.153	NaN	0.153	0.191
12572.025	0.179	NaN	0.179	0.204
12567.151	0.178	NaN	0.178	0.192
12565.417	0.157	NaN	0.157	0.206
12574.417	0.153	NaN	0.153	0.190
12578.682	0.171	NaN	0.171	0.200
12572.505	0.185	NaN	0.185	0.199
12578.700	0.160	NaN	0.160	0.200
12576.999	0.184	NaN	0.184	0.208
12573.992	0.162	NaN	0.162	0.190
12569.509	0.155	NaN	0.155	0.200
12570.317	0.163	NaN	0.163	0.206
12579.975	0.165	NaN	0.165	0.190
12578.461	0.183	NaN	0.183	0.202
12570.326	0.168	NaN	0.168	0.206
12573.198	0.178	NaN	0.178	0.193
12566.961	0.190	NaN	0.190	0.193
12570.486	0.174	NaN	0.174	0.207
12575.983	0.178	NaN	0.178	0.201
12568.326	0.181	NaN	0.181	0.191
12570.805	0.185	NaN	0.185	0.208
12578.116	0.188	NaN	0.188	0.205
12576.714	0.193	NaN	0.193	0.207
12567.407	0.191	NaN	0.191	0.190
12576.504	0.194	NaN	0.194	0.205
12571.516	0.201	NaN	0.201	0.207
12568.960	0.174	NaN	0.174	0.195
12577.222	0.199	NaN	0.199	0.208
12571.873	0.198	NaN	0.198	0.205
12567.663	0.192	NaN	0.192	0.190
12574.895	0.171	NaN	0.171	0.192
12573.563	0.179	NaN	0.179	0.191
12583.308	0.191	NaN	0.191	0.208
12575.836	0.183	NaN	0.183	0.200
12582.054	0.195	NaN	0.195	0.199
12573.011	0.193	NaN	0.193	0.195
12569.836	0.172	NaN	0.172	0.202
12558.293	0.186	NaN	0.186	0.208
12579.954	0.172	NaN	0.172	0.191
12563.421	0.180	NaN	0.180	0.201
12583.699	0.189	NaN	0.189	0.208
12568.559	0.174	NaN	0.174	0.192
12566.834	0.196	NaN	0.196	0.194
12563.770	0.171	NaN	0.171	0.204
12577.769	0.193	NaN	0.193	0.207
12573.679	0.179	NaN	0.179	0.190
12573.655	0.170	NaN	0.170	0.191
12583.276	0.187	NaN	0.187	0.208
12579.473	0.170	NaN	0.170	0.193
12573.440	0.177	NaN	0.177	0.192
12577.639	0.193	NaN	0.193	0.208
12574.190	0.169	NaN	0.169	0.190
12574.846	0.165	NaN	0.165	0.192
12575.999	0.188	NaN	0.188	0.201
12573.649	0.168	NaN	0.168	0.191
12571.687	0.191	NaN	0.191	0.206
12573.777	0.173	NaN	0.173	0.190
12571.364	0.185	NaN	0.185	0.208
12568.249	0.168	NaN	0.168	0.190
12572.442	0.185	NaN	0.185	0.200
12570.818	0.170	NaN	0.170	0.208
12569.222	0.159	NaN	0.159	0.197
12569.965	0.158	NaN	0.158	0.204
12572.156	0.184	NaN	0.184	0.203
12573.898	0.162	NaN	0.162	0.190
12579.489	0.159	NaN	0.159	0.193
12578.271	0.182	NaN	0.182	0.204
12571.647	0.209	NaN	0.209	0.206
12570.230	0.190	NaN	0.190	0.205
12574.007	0.188	NaN	0.188	0.190
12568.230	0.200	NaN	0.200	0.190
12569.491	0.186	NaN	0.186	0.199
12577.293	0.218	NaN	0.218	0.208
12569.212	0.185	NaN	0.185	0.197
12570.826	0.211	NaN	0.211	0.208
12574.402	0.184	NaN	0.184	0.190
12579.405	0.186	NaN	0.186	0.194
12577.748	0.210	NaN	0.210	0.207
12576.921	0.220	NaN	0.220	0.208
12572.742	0.214	NaN	0.214	0.197
12573.189	0.198	NaN	0.198	0.193
12569.965	0.195	NaN	0.195	0.204
12570.947	0.221	NaN	0.221	0.208
12576.406	0.221	NaN	0.221	0.205
12575.866	0.216	NaN	0.216	0.200
12574.376	0.186	NaN	0.186	0.190
12569.767	0.199	NaN	0.199	0.202
12574.023	0.185	NaN	0.185	0.190
12575.851	0.209	NaN	0.209	0.200
12572.461	0.212	NaN	0.212	0.200
12569.902	0.197	NaN	0.197	0.203
12582.696	0.208	NaN	0.208	0.205
12578.263	0.200	NaN	0.200	0.204
12583.636	0.194	NaN	0.194	0.208
12585.419	0.196	NaN	0.196	0.196
12565.110	0.190	NaN	0.190	0.207
12576.515	0.219	NaN	0.219	0.206
12578.952	0.184	NaN	0.184	0.198
12567.027	0.213	NaN	0.213	0.193
12572.918	0.199	NaN	0.199	0.196
12568.528	0.185	NaN	0.185	0.192
12558.468	0.190	NaN	0.190	0.208
12574.515	0.196	NaN	0.196	0.190
12572.026	0.221	NaN	0.221	0.204
12561.494	0.221	NaN	0.221	0.190
12576.819	0.225	NaN	0.225	0.207
12562.149	0.218	NaN	0.218	0.191
12569.356	0.184	NaN	0.184	0.198
12568.380	0.190	NaN	0.190	0.191
12574.906	0.190	NaN	0.190	0.192
12573.865	0.185	NaN	0.185	0.190
12575.187	0.196	NaN	0.196	0.194
12573.049	0.198	NaN	0.198	0.195
12580.283	0.209	NaN	0.209	0.190
12576.500	0.220	NaN	0.220	0.205
12572.623	0.217	NaN	0.217	0.198
12569.745	0.195	NaN	0.195	0.202
12574.432	0.188	NaN	0.188	0.190
12576.593	0.225	NaN	0.225	0.206
12582.840	0.220	NaN	0.220	0.206
12576.608	0.224	NaN	0.224	0.206
12572.583	0.218	NaN	0.218	0.199
12570.412	0.207	NaN	0.207	0.207
12578.173	0.205	NaN	0.205	0.205
12568.886	0.185	NaN	0.185	0.194
12568.809	0.186	NaN	0.186	0.193
12571.069	0.221	NaN	0.221	0.208
12578.393	0.204	NaN	0.204	0.203
12576.544	0.224	NaN	0.224	0.206
12581.303	0.221	NaN	0.221	0.193
12574.101	0.188	NaN	0.188	0.190
12578.373	0.202	NaN	0.202	0.203
12581.325	0.219	NaN	0.219	0.193
12578.810	0.189	NaN	0.189	0.199
12571.910	0.222	NaN	0.222	0.205
12576.347	0.220	NaN	0.220	0.204
12578.067	0.207	NaN	0.207	0.205
12579.221	0.184	NaN	0.184	0.195
######	######	######	######
Output parameter	Value		
Backgroud signal (V) 	5.2222182
SSE goodness of fit	0.0920660
R-square goodness of fit	0.1286381
Fitted amplitude	0.0186086
Fitted offset	0.1988116
Centre phase (deg)	4.6296483
Centre phase (rad)	4.6296483
